0 / 1500 epochTrain loss: 0.809669, acc: 0.520 Val loss: 0.851942, acc: 0.698--- 0.3287 seconds ---
1 / 1500 epochTrain loss: 0.800964, acc: 0.696 Val loss: 0.805956, acc: 0.698--- 0.2933 seconds ---
2 / 1500 epochTrain loss: 0.710446, acc: 0.704 Val loss: 0.708694, acc: 0.687--- 0.2941 seconds ---
3 / 1500 epochTrain loss: 0.585896, acc: 0.722 Val loss: 0.690560, acc: 0.618--- 0.2961 seconds ---
4 / 1500 epochTrain loss: 0.565663, acc: 0.717 Val loss: 0.721006, acc: 0.560--- 0.3007 seconds ---
5 / 1500 epochTrain loss: 0.579538, acc: 0.707 Val loss: 0.723565, acc: 0.579--- 0.3023 seconds ---
6 / 1500 epochTrain loss: 0.565870, acc: 0.718 Val loss: 0.708910, acc: 0.598--- 0.3003 seconds ---
7 / 1500 epochTrain loss: 0.537598, acc: 0.739 Val loss: 0.707638, acc: 0.618--- 0.2992 seconds ---
8 / 1500 epochTrain loss: 0.510324, acc: 0.752 Val loss: 0.719831, acc: 0.636--- 0.2994 seconds ---
9 / 1500 epochTrain loss: 0.504517, acc: 0.756 Val loss: 0.738859, acc: 0.644--- 0.2962 seconds ---
10 / 1500 epochTrain loss: 0.510756, acc: 0.750 Val loss: 0.760094, acc: 0.650--- 0.2943 seconds ---
11 / 1500 epochTrain loss: 0.513049, acc: 0.755 Val loss: 0.767195, acc: 0.644--- 0.2950 seconds ---
12 / 1500 epochTrain loss: 0.504747, acc: 0.760 Val loss: 0.765550, acc: 0.636--- 0.2955 seconds ---
13 / 1500 epochTrain loss: 0.497400, acc: 0.763 Val loss: 0.761979, acc: 0.625--- 0.2960 seconds ---
14 / 1500 epochTrain loss: 0.491037, acc: 0.766 Val loss: 0.752555, acc: 0.619--- 0.2969 seconds ---
15 / 1500 epochTrain loss: 0.486287, acc: 0.765 Val loss: 0.747537, acc: 0.605--- 0.2968 seconds ---
16 / 1500 epochTrain loss: 0.480363, acc: 0.768 Val loss: 0.743395, acc: 0.602--- 0.2974 seconds ---
17 / 1500 epochTrain loss: 0.481087, acc: 0.767 Val loss: 0.746167, acc: 0.594--- 0.3027 seconds ---
18 / 1500 epochTrain loss: 0.479907, acc: 0.772 Val loss: 0.749755, acc: 0.594--- 0.2971 seconds ---
19 / 1500 epochTrain loss: 0.478667, acc: 0.771 Val loss: 0.757120, acc: 0.591--- 0.3001 seconds ---
20 / 1500 epochTrain loss: 0.470477, acc: 0.774 Val loss: 0.770066, acc: 0.602--- 0.2981 seconds ---
21 / 1500 epochTrain loss: 0.465308, acc: 0.778 Val loss: 0.793893, acc: 0.605--- 0.2964 seconds ---
22 / 1500 epochTrain loss: 0.471293, acc: 0.778 Val loss: 0.803031, acc: 0.608--- 0.2962 seconds ---
23 / 1500 epochTrain loss: 0.474442, acc: 0.776 Val loss: 0.797534, acc: 0.607--- 0.2966 seconds ---
