0 / 1500 epochTrain loss: 1.665094, acc: 0.254 Val loss: 1.386317, acc: 0.339--- 0.3096 seconds ---
1 / 1500 epochTrain loss: 1.417334, acc: 0.336 Val loss: 1.395545, acc: 0.362--- 0.2916 seconds ---
2 / 1500 epochTrain loss: 1.324564, acc: 0.405 Val loss: 1.376518, acc: 0.363--- 0.2899 seconds ---
3 / 1500 epochTrain loss: 1.237052, acc: 0.461 Val loss: 1.371393, acc: 0.363--- 0.2939 seconds ---
4 / 1500 epochTrain loss: 1.197740, acc: 0.491 Val loss: 1.381347, acc: 0.355--- 0.2942 seconds ---
5 / 1500 epochTrain loss: 1.171471, acc: 0.504 Val loss: 1.399424, acc: 0.356--- 0.2930 seconds ---
6 / 1500 epochTrain loss: 1.155329, acc: 0.512 Val loss: 1.402929, acc: 0.360--- 0.2926 seconds ---
7 / 1500 epochTrain loss: 1.141240, acc: 0.523 Val loss: 1.399649, acc: 0.360--- 0.3000 seconds ---
8 / 1500 epochTrain loss: 1.122962, acc: 0.526 Val loss: 1.401115, acc: 0.364--- 0.3071 seconds ---
9 / 1500 epochTrain loss: 1.116679, acc: 0.531 Val loss: 1.397058, acc: 0.370--- 0.2949 seconds ---
10 / 1500 epochTrain loss: 1.103780, acc: 0.539 Val loss: 1.397683, acc: 0.372--- 0.2953 seconds ---
11 / 1500 epochTrain loss: 1.092653, acc: 0.545 Val loss: 1.394986, acc: 0.370--- 0.2954 seconds ---
12 / 1500 epochTrain loss: 1.086856, acc: 0.545 Val loss: 1.400185, acc: 0.366--- 0.2927 seconds ---
13 / 1500 epochTrain loss: 1.076559, acc: 0.552 Val loss: 1.405956, acc: 0.370--- 0.2934 seconds ---
14 / 1500 epochTrain loss: 1.071880, acc: 0.554 Val loss: 1.416504, acc: 0.370--- 0.2954 seconds ---
15 / 1500 epochTrain loss: 1.066929, acc: 0.555 Val loss: 1.432007, acc: 0.372--- 0.2923 seconds ---
16 / 1500 epochTrain loss: 1.062734, acc: 0.557 Val loss: 1.446154, acc: 0.369--- 0.2957 seconds ---
17 / 1500 epochTrain loss: 1.056996, acc: 0.565 Val loss: 1.457042, acc: 0.366--- 0.2943 seconds ---
18 / 1500 epochTrain loss: 1.050114, acc: 0.562 Val loss: 1.467997, acc: 0.363--- 0.2926 seconds ---
19 / 1500 epochTrain loss: 1.047918, acc: 0.564 Val loss: 1.479100, acc: 0.364--- 0.2923 seconds ---
