0 / 1500 epochTrain loss: 0.983596, acc: 0.489 Val loss: 0.851747, acc: 0.517--- 0.5740 seconds ---
1 / 1500 epochTrain loss: 0.984540, acc: 0.512 Val loss: 0.758454, acc: 0.564--- 0.5465 seconds ---
2 / 1500 epochTrain loss: 0.802828, acc: 0.574 Val loss: 0.837892, acc: 0.536--- 0.5417 seconds ---
3 / 1500 epochTrain loss: 0.831420, acc: 0.575 Val loss: 0.759604, acc: 0.573--- 0.5300 seconds ---
4 / 1500 epochTrain loss: 0.744075, acc: 0.592 Val loss: 0.695722, acc: 0.612--- 0.5460 seconds ---
5 / 1500 epochTrain loss: 0.689067, acc: 0.608 Val loss: 0.681693, acc: 0.605--- 0.5542 seconds ---
6 / 1500 epochTrain loss: 0.679058, acc: 0.607 Val loss: 0.678069, acc: 0.594--- 0.5555 seconds ---
7 / 1500 epochTrain loss: 0.676618, acc: 0.599 Val loss: 0.673577, acc: 0.600--- 0.5540 seconds ---
8 / 1500 epochTrain loss: 0.669329, acc: 0.600 Val loss: 0.667328, acc: 0.606--- 0.5564 seconds ---
9 / 1500 epochTrain loss: 0.659795, acc: 0.610 Val loss: 0.666737, acc: 0.618--- 0.5530 seconds ---
10 / 1500 epochTrain loss: 0.653427, acc: 0.619 Val loss: 0.667816, acc: 0.623--- 0.5550 seconds ---
11 / 1500 epochTrain loss: 0.651136, acc: 0.627 Val loss: 0.667301, acc: 0.631--- 0.5488 seconds ---
12 / 1500 epochTrain loss: 0.648988, acc: 0.636 Val loss: 0.668165, acc: 0.626--- 0.5526 seconds ---
13 / 1500 epochTrain loss: 0.647829, acc: 0.639 Val loss: 0.669849, acc: 0.623--- 0.5405 seconds ---
14 / 1500 epochTrain loss: 0.645674, acc: 0.641 Val loss: 0.669287, acc: 0.625--- 0.5456 seconds ---
15 / 1500 epochTrain loss: 0.642417, acc: 0.646 Val loss: 0.669834, acc: 0.634--- 0.5429 seconds ---
16 / 1500 epochTrain loss: 0.642251, acc: 0.647 Val loss: 0.671419, acc: 0.634--- 0.5472 seconds ---
17 / 1500 epochTrain loss: 0.641713, acc: 0.648 Val loss: 0.670884, acc: 0.636--- 0.5503 seconds ---
18 / 1500 epochTrain loss: 0.641684, acc: 0.653 Val loss: 0.670116, acc: 0.635--- 0.5520 seconds ---
19 / 1500 epochTrain loss: 0.641504, acc: 0.652 Val loss: 0.668169, acc: 0.636--- 0.5470 seconds ---
20 / 1500 epochTrain loss: 0.639236, acc: 0.650 Val loss: 0.666914, acc: 0.643--- 0.5528 seconds ---
21 / 1500 epochTrain loss: 0.637574, acc: 0.650 Val loss: 0.667039, acc: 0.643--- 0.5521 seconds ---
22 / 1500 epochTrain loss: 0.637718, acc: 0.654 Val loss: 0.667292, acc: 0.639--- 0.5532 seconds ---
23 / 1500 epochTrain loss: 0.635046, acc: 0.654 Val loss: 0.667730, acc: 0.639--- 0.5487 seconds ---
24 / 1500 epochTrain loss: 0.634483, acc: 0.656 Val loss: 0.668523, acc: 0.639--- 0.5538 seconds ---
25 / 1500 epochTrain loss: 0.634096, acc: 0.660 Val loss: 0.667936, acc: 0.639--- 0.5515 seconds ---
26 / 1500 epochTrain loss: 0.634791, acc: 0.659 Val loss: 0.668666, acc: 0.644--- 0.5506 seconds ---
27 / 1500 epochTrain loss: 0.633050, acc: 0.660 Val loss: 0.669236, acc: 0.647--- 0.5500 seconds ---
28 / 1500 epochTrain loss: 0.632388, acc: 0.661 Val loss: 0.669918, acc: 0.649--- 0.5509 seconds ---
29 / 1500 epochTrain loss: 0.632328, acc: 0.662 Val loss: 0.671938, acc: 0.653--- 0.5644 seconds ---
30 / 1500 epochTrain loss: 0.630291, acc: 0.666 Val loss: 0.673600, acc: 0.650--- 0.5510 seconds ---
