0 / 1500 epochTrain loss: 1.553152, acc: 0.254 Val loss: 1.380417, acc: 0.324--- 0.3257 seconds ---
1 / 1500 epochTrain loss: 1.331826, acc: 0.376 Val loss: 1.399852, acc: 0.349--- 0.2998 seconds ---
2 / 1500 epochTrain loss: 1.215760, acc: 0.466 Val loss: 1.454799, acc: 0.340--- 0.2971 seconds ---
3 / 1500 epochTrain loss: 1.155651, acc: 0.505 Val loss: 1.530418, acc: 0.341--- 0.3005 seconds ---
4 / 1500 epochTrain loss: 1.149603, acc: 0.519 Val loss: 1.574320, acc: 0.326--- 0.3009 seconds ---
5 / 1500 epochTrain loss: 1.134488, acc: 0.531 Val loss: 1.586946, acc: 0.329--- 0.2989 seconds ---
6 / 1500 epochTrain loss: 1.123995, acc: 0.537 Val loss: 1.581477, acc: 0.323--- 0.3017 seconds ---
7 / 1500 epochTrain loss: 1.108425, acc: 0.541 Val loss: 1.564053, acc: 0.323--- 0.2996 seconds ---
8 / 1500 epochTrain loss: 1.093046, acc: 0.543 Val loss: 1.545346, acc: 0.316--- 0.2973 seconds ---
9 / 1500 epochTrain loss: 1.085980, acc: 0.541 Val loss: 1.527033, acc: 0.316--- 0.2961 seconds ---
10 / 1500 epochTrain loss: 1.075072, acc: 0.546 Val loss: 1.520415, acc: 0.306--- 0.2977 seconds ---
11 / 1500 epochTrain loss: 1.069489, acc: 0.545 Val loss: 1.521112, acc: 0.309--- 0.2971 seconds ---
12 / 1500 epochTrain loss: 1.058278, acc: 0.553 Val loss: 1.530423, acc: 0.310--- 0.2970 seconds ---
13 / 1500 epochTrain loss: 1.050871, acc: 0.555 Val loss: 1.550222, acc: 0.312--- 0.2971 seconds ---
14 / 1500 epochTrain loss: 1.045014, acc: 0.560 Val loss: 1.577790, acc: 0.323--- 0.2961 seconds ---
15 / 1500 epochTrain loss: 1.045005, acc: 0.558 Val loss: 1.607592, acc: 0.320--- 0.2978 seconds ---
16 / 1500 epochTrain loss: 1.036955, acc: 0.563 Val loss: 1.633135, acc: 0.320--- 0.2980 seconds ---
17 / 1500 epochTrain loss: 1.033334, acc: 0.561 Val loss: 1.648131, acc: 0.316--- 0.2960 seconds ---
18 / 1500 epochTrain loss: 1.031996, acc: 0.569 Val loss: 1.659591, acc: 0.313--- 0.2981 seconds ---
19 / 1500 epochTrain loss: 1.027269, acc: 0.569 Val loss: 1.657848, acc: 0.320--- 0.2977 seconds ---
20 / 1500 epochTrain loss: 1.025071, acc: 0.571 Val loss: 1.651077, acc: 0.318--- 0.2966 seconds ---
21 / 1500 epochTrain loss: 1.017007, acc: 0.574 Val loss: 1.645177, acc: 0.313--- 0.2995 seconds ---
22 / 1500 epochTrain loss: 1.015191, acc: 0.574 Val loss: 1.638524, acc: 0.310--- 0.2969 seconds ---
23 / 1500 epochTrain loss: 1.020242, acc: 0.570 Val loss: 1.632401, acc: 0.316--- 0.2977 seconds ---
24 / 1500 epochTrain loss: 1.011762, acc: 0.574 Val loss: 1.639593, acc: 0.308--- 0.2992 seconds ---
25 / 1500 epochTrain loss: 1.011432, acc: 0.571 Val loss: 1.645334, acc: 0.309--- 0.3016 seconds ---
26 / 1500 epochTrain loss: 1.009411, acc: 0.578 Val loss: 1.658875, acc: 0.307--- 0.2968 seconds ---
27 / 1500 epochTrain loss: 1.006058, acc: 0.577 Val loss: 1.673819, acc: 0.312--- 0.2976 seconds ---
28 / 1500 epochTrain loss: 1.003897, acc: 0.579 Val loss: 1.685119, acc: 0.314--- 0.2974 seconds ---
29 / 1500 epochTrain loss: 1.002775, acc: 0.584 Val loss: 1.689914, acc: 0.316--- 0.2986 seconds ---
30 / 1500 epochTrain loss: 1.003100, acc: 0.578 Val loss: 1.693890, acc: 0.316--- 0.2969 seconds ---
31 / 1500 epochTrain loss: 1.000297, acc: 0.579 Val loss: 1.693199, acc: 0.311--- 0.2976 seconds ---
32 / 1500 epochTrain loss: 1.000572, acc: 0.582 Val loss: 1.689725, acc: 0.309--- 0.2964 seconds ---
33 / 1500 epochTrain loss: 0.998759, acc: 0.580 Val loss: 1.686143, acc: 0.307--- 0.2972 seconds ---
34 / 1500 epochTrain loss: 0.997179, acc: 0.582 Val loss: 1.681318, acc: 0.310--- 0.2974 seconds ---
35 / 1500 epochTrain loss: 0.995943, acc: 0.581 Val loss: 1.679345, acc: 0.303--- 0.2980 seconds ---
36 / 1500 epochTrain loss: 0.991728, acc: 0.582 Val loss: 1.686192, acc: 0.300--- 0.2967 seconds ---
37 / 1500 epochTrain loss: 0.995189, acc: 0.580 Val loss: 1.694660, acc: 0.298--- 0.2978 seconds ---
38 / 1500 epochTrain loss: 0.993889, acc: 0.577 Val loss: 1.705817, acc: 0.308--- 0.2965 seconds ---
39 / 1500 epochTrain loss: 0.993168, acc: 0.583 Val loss: 1.717708, acc: 0.306--- 0.2965 seconds ---
